lefaa1@gmail.com,lefaa1,lefaa123!
karma@gmail.com,karma,karma123456!
test@testing.com,test,test@123
s1mple@gmail.com,s1mple,s1mple123!
email@email.com,testing,test@123
nick@nick.nick,nick,p
valid@example.com,ValidUser,Password1!
valid@example.com,ValidUser,Password1!
valid@example.com,ValidUser,Password1@a
valid@example.com,ValidUser,Password1!
valid@example.com,ValidUser,Password1@
valid@example.com,ValidUser,Password1@a
valid@example.com,ValidUser,Password1!
valid@example.com,ValidUser,Password1!
valid@example.com,ValidUser,Password1!
valid@example.com,ValidUser,Password1@a
valid@example.com,ValidUser,Password1!
valid@example.com,ValidUser,Password1@
valid@example.com,ValidUser,Password1@a
valid@example.com,ValidUser,Password1!
changedEmail@example.ca,changedUsername,ChangedPassword1!
changedEmail@example.ca,changedUsername,changedPassword1!
changedEmail@example.ca,changedUsername,changedPassword1!
changedEmail@example.ca,changedUsername,changedPassword1!
changedEmail@example.ca,changedUsername,changedPassword1!
changedEmail@example.ca,changedUsername,changedPassword1!
changedEmail@example.ca,changedUsername,changedPassword1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
valid@example.com,ValidUser,Password1!
valid@example.com,ValidUser,Password1!
valid@example.com,ValidUser,Password1@a
valid@example.com,ValidUser,Password1!
valid@example.com,ValidUser,Password1@
valid@example.com,ValidUser,Password1@a
valid@example.com,ValidUser,Password1!
changedEmail@example.ca,changedUsername,changedPassword1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
valid@example.com,ValidUser,Password1!
valid@example.com,ValidUser,Password1!
valid@example.com,ValidUser,Password1@a
valid@example.com,ValidUser,Password1!
valid@example.com,ValidUser,Password1@
valid@example.com,ValidUser,Password1@a
valid@example.com,ValidUser,Password1!
test@example.ca,newUser,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
valid@example.com,ValidUser,Password1!
valid@example.com,ValidUser,Password1!
valid@example.com,ValidUser,Password1@a
valid@example.com,ValidUser,Password1!
valid@example.com,ValidUser,Password1@
valid@example.com,ValidUser,Password1@a
valid@example.com,ValidUser,Password1!
test@example.ca,newUser,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
test@example.ca,username,Password1!
